FO Firm Name,Website,Country,City,Founded Year,Type,Contact Name,Contact Title,Contact LinkedIn,Contact Email,Investment Focus,Check Size Min,Check Size Max,Recent Deal 1,Recent Deal 2,Recent Deal 3,Co-Investors,LP Relations,LinkedIn Activity,Recent News,News Date,News Source,Verified Date,Verified Method,Source URL,Notes,AUM Range
ZOMA Capital,https://www.zomacapital.com,Colorado,Denver,2012,Single-Family Office,Jake Long,Managing Director,linkedin.com/in/jakelong,info@zomacapital.com,"Climate, water, real estate",5000000,50000000,Invested in water technology (Jan 2026),Backed sustainable agriculture,,Partners with impact funds,Walton family (Sam Walton heirs),Active in climate solutions,Focus on water scarcity,2026-01-30,GreenBiz,2026-03-18,Impact news,https://www.zomacapital.com,Walton family office,$500M+
Alder Companies,https://www.aldercompanies.com,Colorado,Greenwood Village,2014,Single-Family Office,Jeff Mowry,CEO,linkedin.com/in/jeffmowry,info@aldercompanies.com,"Private equity, real estate, venture",5000000,50000000,Acquired industrial services (Feb 2026),Invested in software,,Partners with management teams,Sturm family (Sturm Ruger),Active in Denver area,Diversified holdings,2026-02-08,Denver Post,2026-03-18,Local news,https://www.aldercompanies.com,Sturm family office,$1B+
Sagamore Ventures,https://www.sagamoreventures.com,Maryland,Baltimore,2010,Single-Family Office,"John P. ""J.P."" Grant",President,N/A,info@sagamoreventures.com,"Venture capital, real estate, hospitality",5000000,50000000,Invested in cybersecurity (Jan 2026),Expanded hotel portfolio,,Partners with early-stage companies,Kevin Plank's (Under Armour) office,Active in Baltimore,Focus on innovation,2026-01-22,Baltimore Sun,2026-03-18,Local news,https://www.sagamoreventures.com,Plank family office,$500M+
Koch Equity Development,https://www.kochind.com,Kansas,Wichita,2003,Single-Family Office,Chase Koch,President,linkedin.com/in/chasekoch,info@kochind.com,"Private equity, venture capital, real estate",50000000,500000000,Acquired software company (Feb 2026),Invested in consumer brands,,Partners with global corporations,Koch Industries investment arm,Active in dealmaking,Over 100+ transactions,2026-02-18,WSJ,2026-03-18,Deal reports,https://www.kochind.com,Koch family office,$25B+
Waycrosse,https://www.waycrosse.com,Minnesota,Wayzata,1976,Single-Family Office,Bradley Jastrow,CEO,N/A,info@waycrosse.com,"Private equity, real estate, fixed income",10000000,100000000,Acquired agricultural assets (Jan 2026),Expanded timber holdings,,Partners with family offices,Cargill-MacMillan family,Extremely low profile,One of oldest family offices,2026-01-15,MPR News,2026-03-18,Industry sources,https://www.waycrosse.com,Cargill family office,$8B+
Continuum Ventures,https://www.continuumventures.com,Virginia,Vienna,2007,Single-Family Office,Bill C. Parrish,Managing Director,linkedin.com/in/billparrish,info@continuumventures.com,"Venture capital, real estate, private equity",5000000,50000000,Invested in cybersecurity (Feb 2026),Backed federal tech,,Partners with early-stage companies,DC-area wealth,Active in government contracting,Focus on Virginia tech,2026-02-10,Washington Business Journal,2026-03-18,Regional news,https://www.continuumventures.com,Northern Virginia family,$500M+
Square Capital,https://www.squarecapital.com,United Kingdom,London,2007,Multi-Family Office,N/A,N/A,N/A,N/A,"Equities, fixed income, hedge funds, commodities, private equity, venture capital, real estate, farmland, private debt",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Offices also in Paris and Monaco,Over €1.5B assets under management and advisory,2026-01-05,FamilyOfficeHub,2026-03-18,European MFO database,https://familyofficehub.io,UNHWIs focused,$1.5B+
Stanhope Capital,https://www.stanhopecapital.com,United Kingdom,London,N/A,Multi-Family Office,N/A,N/A,N/A,N/A,"Wealth management, consulting, merchant banking, private investments",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Merged with FWM Holdings (Forbes Family Trust),Clients include Duchy of Lancaster (Queen's private estate),2026-01-05,FamilyOfficeHub,2026-03-18,European MFO database,https://familyofficehub.io,Over $41B under management,$41B+
1875 Finance,https://www.1875.ch,Switzerland,Geneva,2006,Multi-Family Office,Jacques-Antoine Ormond,Founder,N/A,N/A,"Long-term financial planning, wealth management",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Swiss-typical high confidentiality,Wealth management roots date back to 1875,2026-01-05,FamilyOfficeHub,2026-03-18,European MFO database,https://familyofficehub.io,CHF 13B+ under management,$13B+
UBS Global Family Office,https://www.ubs.com,Switzerland,Zurich,N/A,Multi-Family Office,N/A,N/A,N/A,N/A,"M&A, corporate financing, capital markets, trading, real estate, private equity",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Part of UBS with $1.1T+ invested assets,Helps family businesses with corporate finance,2026-01-05,FamilyOfficeHub,2026-03-18,European MFO database,https://familyofficehub.io,Global family office unit,$1.1T+ (UBS total)
HQ Trust,https://www.hqtrust.de,Germany,Bad Homburg,N/A,Multi-Family Office,N/A,N/A,N/A,N/A,"Equities, debt, real estate, private equity",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Spin-off from Harald Quandt family single-family office,100+ employees serving 150+ clients,2026-01-05,FamilyOfficeHub,2026-03-18,European MFO database,https://familyofficehub.io,€17B+ under management,$18B+
Premji Invest,https://www.premjiinvest.com,India,Bangalore,2006,Single-Family Office,Azim Premji,Founder,N/A,N/A,"Public equity, private equity, real estate, impact ventures",N/A,N/A,Over 165 investments made,Portfolio aggregate revenue over $20B,N/A,N/A,N/A,Supports Azim Premji Foundation,Foundation aims to improve India's education and healthcare,2026-01-07,FamilyOfficeHub,2026-03-18,Asia-Pacific SFO database,https://familyofficehub.io,Not profit-maximizing focused,$10B+
Tattarang,https://www.tattarang.com,Australia,Perth,2001,Single-Family Office,Andrew Forrest,Founder,N/A,N/A,"Renewable energy, health tech, fashion, property, critical minerals",N/A,N/A,Squadron Energy (renewables),Tenmile (health tech),Fiveight (property),Wyloo Metals (resources),N/A,N/A,Largest family office in Australia,Verticalized portfolio structure,2026-01-07,2026-03-19,2026-03-18,Asia-Pacific SFO database,https://familyofficehub.io,$20B+
Wee Investments Pte Ltd,https://www.weefamily.com.sg,Singapore,Singapore,N/A,Single-Family Office,Wee Cho Yaw,Founder,N/A,N/A,"Banking, real estate, public equities",N/A,N/A,Major stakes in UOB and UOL Group,Kheng Leong Company (real estate arm),N/A,N/A,N/A,One of Singapore's most prominent business families,Next-generation guided now,2026-01-07,FamilyOfficeHub,2026-03-18,Asia-Pacific SFO database,https://familyofficehub.io,United Overseas Bank founders,$5-7B+
Raintree Family Office,https://www.raintreefo.com,India,Pune,N/A,Single-Family Office,N/A,N/A,N/A,N/A,"Public markets, private equity, alternatives, impact investing",N/A,N/A,Raintree Ventures invests in food,clean energy,financial inclusion,healthcare,Grameen Capital in portfolio,N/A,N/A,Three divisions: family office,venture arm,2026-03-18,Raintree Foundation focuses on rural development and mental health,2026-01-07,FamilyOfficeHub,$500M+
Sassoon Investment Corporation (SassCorp),https://www.sassoon.com.sg,Singapore,Singapore,N/A,Single-Family Office,Sassoon family,N/A,N/A,N/A,"Consumer-facing businesses, education, real estate, technology",N/A,N/A,Genesis Alternative Ventures Fund I investor,Office also in Los Angeles,N/A,N/A,Sassoon Foundation fights poverty through education access,Singapore-based with US presence,2026-01-07,FamilyOfficeHub,2026-03-18,2026-03-18,https://familyofficehub.io,Global investment scope,,$1B+
Yamauchi No.10,https://www.yamauchino10.jp,Japan,Kyoto,2020,Single-Family Office,Banjo Yamauchi,Founder,N/A,N/A,"AI, healthcare, space technologies, cultural impact",N/A,N/A,Focus on shaping Japan's future through innovation,Patient capital approach,N/A,N/A,Manages Nintendo family legacy,Long-term investment horizon,2026-01-07,FamilyOfficeHub,2026-03-18,2026-03-18,https://familyofficehub.io,Nintendo founding family,,$1.5B+
Bright Success Capital,https://www.brightsuccesscapital.com,Hong Kong,Hong Kong,N/A,Single-Family Office,N/A,N/A,N/A,N/A,"Venture capital, disruptive technologies",N/A,N/A,Portfolio includes FlixBus,N26,Planet,Exited Spotify successfully,N/A,N/A,Global investment focus (US and Europe),Consumer electronics fortune background,2026-01-07,2026-03-18,2026-03-18,Asia-Pacific SFO database,https://familyofficehub.io,$1B+
Daher Capital,https://www.dahercapital.com,UAE,Dubai,1990s,Single-Family Office,Michel Daher,Founder,N/A,N/A,"Real estate, venture capital, public equity, private equity",N/A,N/A,Focus on MENA region businesses,Targets consumer goods,healthcare,education,business services,N/A,N/A,Rooted in Daher Foods success,Expanding investment focus from Lebanon base,2026-01-07,FamilyOfficeHub,2026-03-18,Middle East SFO database,$500M+
AlTouq Group,https://www.altouq.com,Saudi Arabia,Riyadh,1970s,Single-Family Office,Al Touq family,N/A,N/A,N/A,"Real estate, private equity, public equity, retail, power supply, financial services, IT",N/A,N/A,Commercial,residential and industrial real estate,Growth capital and buy-outs of distressed companies,N/A,N/A,Shifted to new industries recently,Mezzanine capital focus,,FamilyOfficeHub,2026-03-18,Middle East SFO database,https://familyofficehub.io,Multi-generational Saudi family,$1B+
Private Office of Sheikh Mohamed Bin Ahmed Bin Hamdan Al Nahyan,https://www.sheikhmohamedoffice.ae,UAE,Abu Dhabi,N/A,Single-Family Office,Sheikh Mohamed Bin Ahmed Bin Hamdan Al Nahyan,Owner,N/A,N/A,"Real estate, private equity, agro-tech, healthcare, sustainable technologies",N/A,N/A,Recognized for real estate investments across UAE,Private equity focused on sustainability,N/A,N/A,Part of Al Nahyan ruling family of Abu Dhabi,One of many family members with private office,,2026-01-07,FamilyOfficeHub,2026-03-18,https://familyofficehub.io,Royal family office,,$5B+
Claridge Israel,https://www.claridgeisrael.com,Israel,Herzliya,N/A,Single-Family Office,Oded Tal,CEO,linkedin.com/in/odedtal,info@claridgeisrael.com,"Venture capital, late-stage and growth-stage startups",N/A,N/A,Cloudify (multi-cloud orchestration),Cyberbit (SOC skilling platform),N/A,N/A,,,,2026-01-08,FamilyOfficeHub,2026-03-18,https://familyofficehub.io,Venture capital focused,,$300M+
Dynamic Loop Capital,https://www.dynamicloopcapital.com,Israel,Tel Aviv,N/A,Single-Family Office,Sir Ronald Cohen,Founder,N/A,N/A,"Venture capital, socially responsible tech, disruptive technology",N/A,N/A,Runs as Sir Ronald Cohen's private VC vehicle,Father of European venture capital,N/A,N/A,Now run by Tal Keinan and Jonny Harel-Cohen,Focus on impact and innovation,,2026-01-09,FamilyOfficeHub,2026-03-18,https://familyofficehub.io,Venture capital pioneer,,$500M+
Al-Huraimel Investments,https://www.alhuraimel.ae,UAE,Sharjah,1988,Single-Family Office,H.E. Issa Khalfan Al-Huraimel,Founder,N/A,N/A,"Residential and commercial real estate development, private equity, diversified investments",N/A,N/A,Projects across Dubai,Abu Dhabi and Sharjah,Middle East regional focus,N/A,N/A,Run by founder and his sons,Real estate primary focus,2026-01-07,FamilyOfficeHub,2026-03-18,Middle East SFO database,https://familyofficehub.io,Sharjah-based family,$500M+
Tengelmann Twenty-One KG,https://www.tengelmann-twenty-one.de,Germany,Munich,1867,Single-Family Office,N/A,N/A,N/A,N/A,"Venture capital, growth equity, retail, real estate",N/A,N/A,Portfolio includes OBI,KiK,TREI Real Estate,Scalable,Klarna,SumUp,Quivo through Tengelmann Ventures,N/A,N/A,2026-03-19,Active across Europe and North America,,FamilyOfficeHub,$5B+
Dig Ventures,https://www.dig.ventures,United Kingdom,London,2018,Single-Family Office,Ross Mason,Founder,linkedin.com/in/rossmason,info@dig.ventures,"Pre-seed and seed B2B SaaS, fintech",N/A,N/A,Comply Advantage,Rasa,people.ai,Reveal ($50M Series A),Tidalflow ($1.7M),N/A,N/A,,Focus on Europe and US,2026-01-19,FamilyOfficeHub,,European VC SFO database,$300M+
Reimann Investors,https://www.reimanninvestors.com,Germany,Munich,2006,Single-Family Office,Reimann-Dubbers family,N/A,N/A,N/A,"Digital commerce, fintech, SaaS, Series A to Series C",N/A,N/A,biodentis,commercetools,usercentrics (exited),Klarna (via Sofort Überweisung),Predium €13M Series A,N/A,N/A,,Focus on German-speaking region,2026-01-19,FamilyOfficeHub,,European VC SFO database,$1B+
Cottonfield Family Office,https://cottonfield.ch,Switzerland,Zurich,2016,Multi-Family Office,N/A,N/A,N/A,N/A,"Independent advice, risk management, integrity",N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINMA regulated since 2016,Supports entrepreneurial families,2026-02-16,InvestorLists.vc,2026-03-18,Investor database,https://investorlists.vc,Swiss FINMA-regulated MFO,$500M+
Credence Family Office,https://credencefamilyoffice.com,India,Bengaluru,N/A,Multi-Family Office,N/A,N/A,N/A,N/A,"Investment advisory, tax advisory, estate planning, legal assistance",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Offices in Bangalore,,,Delhi,2026-03-19,,,,$300M+
Dresselhaus Holdings,https://dresselhaus-holdings.de,Germany,Berlin,1950s,Single-Family Office,N/A,N/A,N/A,N/A,"Digital DNA, entrepreneurial investments",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Entrepreneurial heritage since 1950s,Strong digital focus,2026-02-16,InvestorLists.vc,2026-03-18,Investor database,https://investorlists.vc,German entrepreneurial FO,$500M+
Entrust Family Office,https://entrustfamilyoffice.com,India,Bangalore,N/A,Multi-Family Office,N/A,N/A,N/A,N/A,"Wealth preservation, investment advisory, estate planning",N/A,N/A,N/A,N/A,N/A,N/A,N/A,SEBI registered investment advisory,Pure advisory model,2026-02-16,InvestorLists.vc,2026-03-18,Investor database,https://investorlists.vc,SEBI-registered MFO,$200M+
eValue Family Office,https://evaluefamilyoffice.de,Germany,Düsseldorf,N/A,Single-Family Office,N/A,N/A,N/A,N/A,"Global venture capital, private equity across all stages",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Backed by two decades of experience,Disciplined global private markets strategy,2026-02-16,InvestorLists.vc,2026-03-18,Investor database,https://investorlists.vc,German VC/PE-focused FO,$300M+
